Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/outputs//photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/dc2/photometry_catalog.hdf5, BPZliteEstimator
Process 12 running estimator on chunk 27120000 - 27130000
Process 12 running estimator on chunk 27420000 - 27430000
Process 12 running estimator on chunk 27720000 - 27730000
Process 12 running estimator on chunk 28020000 - 28030000
Process 12 running estimator on chunk 28320000 - 28330000
Process 12 running estimator on chunk 28620000 - 28630000
Process 12 running estimator on chunk 28920000 - 28930000
Process 12 running estimator on chunk 29220000 - 29230000
Process 12 running estimator on chunk 29520000 - 29530000
Process 12 running estimator on chunk 29820000 - 29830000
Process 12 running estimator on chunk 30120000 - 30130000
Process 12 running estimator on chunk 30420000 - 30430000
Process 12 running estimator on chunk 30720000 - 30730000
Process 12 running estimator on chunk 31020000 - 31030000
Process 12 running estimator on chunk 31320000 - 31330000
Process 12 running estimator on chunk 31620000 - 31630000
Process 12 running estimator on chunk 31920000 - 31930000
Process 12 running estimator on chunk 32220000 - 32230000
Process 12 running estimator on chunk 32520000 - 32530000
Process 12 running estimator on chunk 32820000 - 32830000
Process 12 running estimator on chunk 33120000 - 33130000
Process 12 running estimator on chunk 33420000 - 33430000
Process 12 running estimator on chunk 33720000 - 33730000
Process 12 running estimator on chunk 34020000 - 34030000
Process 12 running estimator on chunk 34320000 - 34330000
Process 12 running estimator on chunk 34620000 - 34630000
Process 12 running estimator on chunk 34920000 - 34930000
Process 12 running estimator on chunk 35220000 - 35230000
Process 12 running estimator on chunk 35520000 - 35530000
