Inserting handle into data store.  model: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/outputs-lsst-france/scaling-relation-out/photoz_model.pkl, BPZliteEstimator
Inserting handle into data store.  input: /sps/lsst/groups/clusters/cl_pipeline_project/TXPipe_data/cosmodc2/full/shear_catalog.hdf5, BPZliteEstimator
Process 15 running estimator on chunk 450000 - 460000
Process 15 running estimator on chunk 750000 - 760000
Process 15 running estimator on chunk 1050000 - 1060000
Process 15 running estimator on chunk 1350000 - 1360000
Process 15 running estimator on chunk 1650000 - 1660000
Process 15 running estimator on chunk 1950000 - 1960000
Process 15 running estimator on chunk 2250000 - 2260000
Process 15 running estimator on chunk 2550000 - 2560000
Process 15 running estimator on chunk 2850000 - 2860000
Process 15 running estimator on chunk 3150000 - 3160000
Process 15 running estimator on chunk 3450000 - 3460000
Process 15 running estimator on chunk 3750000 - 3760000
Process 15 running estimator on chunk 4050000 - 4060000
Process 15 running estimator on chunk 4350000 - 4360000
Process 15 running estimator on chunk 4650000 - 4660000
Process 15 running estimator on chunk 4950000 - 4960000
Process 15 running estimator on chunk 5250000 - 5260000
Process 15 running estimator on chunk 5550000 - 5560000
Process 15 running estimator on chunk 5850000 - 5860000
Process 15 running estimator on chunk 6150000 - 6160000
Process 15 running estimator on chunk 6450000 - 6460000
Process 15 running estimator on chunk 6750000 - 6760000
Process 15 running estimator on chunk 7050000 - 7060000
Process 15 running estimator on chunk 7350000 - 7360000
Process 15 running estimator on chunk 7650000 - 7660000
Process 15 running estimator on chunk 7950000 - 7960000
Process 15 running estimator on chunk 8250000 - 8260000
Process 15 running estimator on chunk 8550000 - 8560000
Process 15 running estimator on chunk 8850000 - 8860000
Process 15 running estimator on chunk 9150000 - 9160000
Process 15 running estimator on chunk 9450000 - 9460000
Process 15 running estimator on chunk 9750000 - 9760000
Process 15 running estimator on chunk 10050000 - 10060000
Process 15 running estimator on chunk 10350000 - 10360000
Process 15 running estimator on chunk 10650000 - 10660000
Process 15 running estimator on chunk 10950000 - 10960000
Process 15 running estimator on chunk 11250000 - 11260000
Process 15 running estimator on chunk 11550000 - 11560000
Process 15 running estimator on chunk 11850000 - 11860000
Process 15 running estimator on chunk 12150000 - 12160000
Process 15 running estimator on chunk 12450000 - 12460000
Process 15 running estimator on chunk 12750000 - 12760000
Process 15 running estimator on chunk 13050000 - 13060000
Process 15 running estimator on chunk 13350000 - 13360000
Process 15 running estimator on chunk 13650000 - 13660000
Process 15 running estimator on chunk 13950000 - 13960000
Process 15 running estimator on chunk 14250000 - 14260000
Process 15 running estimator on chunk 14550000 - 14560000
Process 15 running estimator on chunk 14850000 - 14860000
Process 15 running estimator on chunk 15150000 - 15160000
Process 15 running estimator on chunk 15450000 - 15460000
Process 15 running estimator on chunk 15750000 - 15760000
Process 15 running estimator on chunk 16050000 - 16060000
Process 15 running estimator on chunk 16350000 - 16360000
